Wavelength (m) ,E_ph (J),a0v,a5v,f5v,g0v,g5v,k0v,k5v,m0v,m5v
3.520E-07,5.643E-19,3.146E-02,2.755E-02,2.740E-02,2.638E-02,2.167E-02,9.043E-03,6.350E-03,3.728E-03,5.363E-03
3.530E-07,5.627E-19,3.122E-02,2.749E-02,2.837E-02,2.793E-02,2.175E-02,1.016E-02,6.952E-03,4.518E-03,3.222E-03
3.540E-07,5.611E-19,3.123E-02,2.747E-02,3.036E-02,2.867E-02,2.328E-02,1.228E-02,8.342E-03,5.011E-03,4.308E-03
3.550E-07,5.596E-19,3.138E-02,2.863E-02,3.100E-02,2.712E-02,2.392E-02,1.159E-02,8.368E-03,4.721E-03,1.078E-03
3.560E-07,5.580E-19,3.108E-02,2.798E-02,2.978E-02,2.485E-02,2.345E-02,9.550E-03,6.788E-03,3.632E-03,9.724E-03
3.570E-07,5.564E-19,3.067E-02,2.687E-02,2.745E-02,2.401E-02,2.035E-02,8.105E-03,5.532E-03,3.118E-03,4.351E-03
3.580E-07,5.549E-19,3.061E-02,2.698E-02,2.619E-02,2.496E-02,1.847E-02,6.263E-03,4.305E-03,2.923E-03,1.096E-03
3.590E-07,5.533E-19,3.066E-02,2.660E-02,2.722E-02,2.652E-02,1.904E-02,7.222E-03,5.274E-03,3.214E-03,6.626E-03
3.600E-07,5.518E-19,3.066E-02,2.612E-02,2.922E-02,2.610E-02,2.271E-02,1.018E-02,6.603E-03,3.213E-03,1.113E-03
3.610E-07,5.503E-19,3.045E-02,2.595E-02,2.762E-02,2.544E-02,2.089E-02,9.704E-03,6.764E-03,3.255E-03,9.428E-03
3.620E-07,5.487E-19,3.046E-02,2.645E-02,2.779E-02,2.632E-02,2.089E-02,9.735E-03,6.737E-03,3.864E-03,7.570E-03
3.630E-07,5.472E-19,3.031E-02,2.697E-02,2.783E-02,2.671E-02,2.121E-02,1.025E-02,7.349E-03,3.816E-03,3.427E-03
3.640E-07,5.457E-19,3.036E-02,2.676E-02,2.770E-02,2.727E-02,2.161E-02,1.062E-02,7.174E-03,3.881E-03,8.268E-03
